EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
mosfet_0172_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0172_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0173_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0173_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0174_f60,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,DIELECTRIC ETCH VIA,OXIDE ETCH DRY,POLYSILICON ETCH DRY
mosfet_0174_f80,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0175_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0175_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0176_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0176_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0177_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0177_f80,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0178_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0178_f80,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0179_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0179_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0180_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0180_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0181_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0181_f80,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH
mosfet_0182_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0182_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0183_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0183_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0184_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0184_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0185_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0185_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0186_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0186_f80,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0187_f60,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0187_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0188_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0188_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0189_f60,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0189_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0190_f60,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0190_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0191_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0191_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0192_f60,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0192_f80,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0193_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0193_f80,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0194_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0194_f80,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0195_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0195_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0196_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0196_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0197_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0197_f80,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0198_f60,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0198_f80,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0199_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0199_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0000_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0000_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0001_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0001_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0002_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0002_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0003_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0003_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0004_f60,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEVELOP PHOTORESIST,SOFT BAKE
igbt_0004_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0005_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0005_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0006_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0006_f80,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST
igbt_0007_f60,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE
igbt_0007_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0008_f60,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0008_f80,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST
igbt_0009_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0009_f80,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST
igbt_0010_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0010_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0011_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0011_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0012_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0012_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0013_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0013_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0014_f60,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0014_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0015_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0015_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0016_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0016_f80,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST
igbt_0017_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0017_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0018_f60,SOFT BAKE,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST
igbt_0018_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0019_f60,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0019_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0020_f60,SOFT BAKE,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST
igbt_0020_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0021_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0021_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0022_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0022_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0023_f60,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE
igbt_0023_f80,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST
igbt_0024_f60,ALIGN MASK LEVEL 1,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 3,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 5
igbt_0024_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0025_f60,EXPOSE LITHO LEVEL 5,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0025_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0026_f60,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0026_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0027_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0027_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0028_f60,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE
igbt_0028_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0029_f60,ALIGN MASK LEVEL 1,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 3,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 5
igbt_0029_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0030_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0030_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0031_f60,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0031_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0032_f60,SOFT BAKE,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST
igbt_0032_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0033_f60,SOFT BAKE,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST
igbt_0033_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0034_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0034_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0035_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0035_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0036_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0036_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0037_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0037_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0038_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0038_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0039_f60,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0039_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0040_f60,SOFT BAKE,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST
igbt_0040_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0041_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0041_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0042_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0042_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0043_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0043_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0044_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0044_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0045_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0045_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0046_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0046_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0047_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0047_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0048_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0048_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0049_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0049_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0050_f60,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE
igbt_0050_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0051_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0051_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0052_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0052_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0053_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0053_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0054_f60,SOFT BAKE,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST
igbt_0054_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0055_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0055_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0056_f60,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEVELOP PHOTORESIST,SOFT BAKE
igbt_0056_f80,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0057_f60,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0057_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0058_f60,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0058_f80,CURE PASSIVATION,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
igbt_0059_f60,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,SOFT BAKE,STRIP RESIST,STRIP PHOTORESIST
igbt_0059_f80,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
igbt_0060_f60,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEVELOP PHOTORESIST,SOFT BAKE
